Dish Name,Ingredients,Price,Calories,Category
Spicy Special Thali,"potato, rice, cashew, spinach, prawn",116.92,14,Starter
Garlic Paneer Butter Masala,"tomato, sugar, flour, garlic, cashew",267.09,13,Starter
Chilli Cheese Corn Balls,"prawn, onion, nuts, lentils, rose water, mutton",567.93,19,Starter
Mutton Butter Naan,"rice, spinach, paneer, flour, butter",192.89,25,Main Course
Malai Fresh Lime Water,"yogurt, saffron, sugar, butter, spices, spinach",689.08,15,Non-Veg
Lemon Kadai Paneer,"cauliflower, mushroom, tomato, nuts, okra",567.95,5,Veg
Mutton Methi Malai Paneer,"egg, lemon, milk, nuts",418.53,11,Bread
Jeera Fresh Lime Water,"saffron, soy sauce, tomato, butter",262.84,25,Dessert
Tandoori Dal Makhani,"saffron, sugar, butter, lentils, rose water, lemon",448.3,44,Bread
Methi Butter Chicken,"noodles, saffron, cream, garlic",285.28,17,Combo
Methi Masala Chai,"fish, mutton, mushroom, garlic, cream",323.6,40,Bread
Special Veg Samosa,"onion, yogurt, egg, cashew, prawn, mutton",377.8,11,Veg
Masala Jeera Rice,"mango, spices, mutton",566.62,35,Bread
Gulab Gulab Jamun,"spinach, lemon, soy sauce, potato, mango, onion",356.38,21,Bread
Prawn Gulab Jamun,"cream, yogurt, garlic, onion, nuts",581.07,31,Main Course
Gobi Veg Samosa,"mango, fish, soy sauce, spices, mushroom, yogurt",128.95,50,Veg
Aloo Fresh Lime Water,"spices, soy sauce, spinach, saffron",682.74,17,Starter
Classic Cheese Corn Balls,"potato, egg, prawn, tomato, mango, mutton",239.89,9,Non-Veg
Mutton Masala Chai,"lentils, rose water, paneer, egg, spices",336.95,14,Non-Veg
Ras Chicken Tikka Masala,"fish, nuts, egg",243.76,46,Bread
Hara Bhara Kheer,"lentils, flour, yogurt, butter",325.39,26,Main Course
Classic Prawn Masala,"chicken, cashew, mutton, lentils, lemon",612.11,48,Non-Veg
Mango Veg Pulao,"prawn, rice, sugar, cauliflower, mutton, lemon",135.36,33,Main Course
Ras Papdi Chaat,"cream, saffron, tomato, mutton, flour",164.1,38,Veg
Butter Fish Amritsari,"cream, mushroom, butter, rose water",111.35,28,Main Course
Palak Chole Bhature,"spices, cashew, paneer, lemon, spinach, mushroom",448.31,16,Bread
Hara Bhara Masala Chai,"okra, onion, fish, chicken",319.67,15,Main Course
Mango Veg Pulao,"lentils, egg, chicken, paneer",373.94,13,Starter
Cheese Corn Paneer Tikka,"lentils, noodles, milk, nuts, rose water",236.24,34,Dessert
Shahi Special Thali,"garlic, paneer, okra, cashew, egg, noodles",312.02,46,Dessert
Paneer Chicken Tikka Masala,"lentils, prawn, okra, mutton, potato",172.96,20,Veg
Jeera Kheer,"rice, chicken, lemon, fish, okra",642.29,30,Combo
Chilli Chicken Korma,"cashew, capsicum, mango, nuts",394.54,15,Starter
Paneer Chicken Tikka Masala,"spinach, cashew, onion, capsicum, nuts",218.46,24,Combo
Jeera Kadai Paneer,"rose water, spices, mango, cream, tomato",372.78,17,Non-Veg
Mango Egg Curry,"cream, noodles, mango, tomato, soy sauce, garlic",292.46,41,Bread
Special Tandoori Chicken,"onion, lemon, cashew, spinach",274.32,8,Veg
Prawn Ras Malai,"saffron, lemon, onion, rice",460.98,45,Combo
Mutton Cheese Corn Balls,"paneer, chicken, lentils, garlic, sugar, spinach",669.04,25,Main Course
Spicy Paneer Tikka,"capsicum, nuts, mutton, rice",143.68,37,Dessert
Butter Dal Makhani,"fish, rose water, cashew, noodles, rice",292.49,36,Beverage
Garlic Fish Amritsari,"chicken, spices, mango, sugar, tomato, garlic",535.13,42,Starter
Tandoori Chole Bhature,"milk, okra, cream",448.23,8,Non-Veg
Malai Butter Chicken,"egg, soy sauce, milk",156.63,21,Bread
Methi Aloo Gobi,"mutton, egg, garlic",490.74,22,Starter
Fish Chicken Tikka Masala,"fish, spices, garlic",388.6,43,Main Course
Garlic Gulab Jamun,"nuts, egg, fish, saffron",104.43,36,Main Course
Methi Prawn Masala,"paneer, onion, spices",597.84,47,Bread
Special Palak Paneer,"garlic, okra, capsicum",363.19,23,Dessert
Prawn Veg Samosa,"butter, fish, sugar, prawn",344.12,12,Non-Veg
