Dish Name,Ingredients Used,Price,Time Consumed,Menu Group
Shahi Paneer,"beef, rice, butter, cucumber",209.82,26,Veg
Bhindi Masala,"spinach, garlic, milk",320.66,39,Dessert
Chicken Tikka,"rice, garlic, egg, noodles",394.17,16,Non-Veg
Ice Cream Sundae,"lentils, noodles, carrot, capsicum",553.72,7,Veg
Fruit Custard,"egg, butter, yogurt, garlic, potato",303.44,11,Veg
Mango Lassi,"fish, paneer, carrot",630.03,43,Beverage
Kadai Paneer,"ginger, chicken, cucumber, beef",277.8,8,Veg
Jalebi,"carrot, flour, paneer, noodles",456.75,18,Veg
Chicken Do Pyaza,"tomato, cream, oregano, corn",240.65,18,Non-Veg
Methi Malai Paneer,"flour, cucumber, spinach, chicken",281.27,18,Veg
Gulab Jamun,"paneer, broccoli, cucumber, noodles, carrot",525.2,35,Dessert
Kadai Paneer,"broccoli, spinach, cream, butter, cheese",185.99,12,Veg
Chocolate Brownie,"broccoli, tomato, paneer",158.83,35,Main Course
Chana Masala,"pepper, lentils, egg",494.24,41,Dessert
Green Tea,"tomato, garlic, cheese, flour, basil",632.26,40,Beverage
Green Tea,"flour, capsicum, paneer",158.39,33,Beverage
Tandoori Platter,"beef, cream, pepper, lentils, garlic",451.61,21,Combo
Sweet Lassi,"oregano, rice, beef, tomato, paneer",374.17,13,Beverage
Chicken Seekh Kebab,"corn, mushroom, butter",437.77,41,Non-Veg
Ice Cream Sundae,"cucumber, egg, oregano, carrot, paneer",517.69,25,Beverage
Paneer + Chicken Combo,"capsicum, basil, ginger, carrot",263.41,22,Veg
Samosa,"paneer, ginger, potato, onion, basil",289.31,7,Non-Veg
Gajar Halwa,"onion, yogurt, pepper, egg",455.22,36,Dessert
Grilled Fish,"egg, fish, rice",559.93,42,Non-Veg
Non-Veg Platter,"paneer, lentils, flour",450.66,10,Veg
Gajar Halwa,"capsicum, mushroom, corn",410.26,20,Dessert
Samosa,"potato, ginger, garlic, pepper",123.11,19,Veg
Chana Masala,"pepper, cucumber, carrot, milk, flour",255.64,6,Beverage
Veg Manchurian,"basil, paneer, onion",625.72,23,Veg
Veg Thali,"pepper, corn, yogurt",399.04,44,Veg
Beef Stir Fry,"flour, fish, yogurt",191.15,11,Non-Veg
Hara Bhara Kebab,"paneer, potato, ginger",186.31,20,Starter
Chicken Do Pyaza,"beef, paneer, spinach, milk, carrot",522.8,21,Non-Veg
Mutton Rogan Josh,"lentils, basil, beef, carrot",237.95,5,Non-Veg
Green Tea,"capsicum, oregano, yogurt",564.14,5,Beverage
Chicken Seekh Kebab,"garlic, carrot, broccoli, oregano",405.12,13,Non-Veg
Veg Spring Rolls,"butter, garlic, beef, cheese, potato",623.21,43,Veg
Veg Thali,"milk, broccoli, paneer, noodles",447.91,23,Veg
Badam Milk,"mushroom, cucumber, fish",630.3,33,Beverage
Fish Curry,"garlic, capsicum, broccoli, cheese",192.69,33,Non-Veg
Fruit Custard,"corn, flour, cream, cucumber",144.36,9,Veg
Paneer Pakora,"milk, basil, paneer",530.67,19,Veg
Veg Manchurian,"fish, lentils, garlic",585.88,41,Veg
Cold Coffee,"butter, lentils, cream",516.73,43,Beverage
Mix Vegetable,"lentils, chicken, fish, broccoli",279.08,12,Veg
Chicken Korma,"broccoli, capsicum, onion, mushroom, cheese",479.74,27,Non-Veg
Biryani Combo,"corn, carrot, lentils, egg",327.42,31,Combo
Beef Stir Fry,"carrot, ginger, corn",220.63,22,Non-Veg
Aloo Gobi,"beef, yogurt, milk",176.45,17,Veg
Green Tea,"fish, mushroom, milk, flour, pepper",392.68,15,Beverage
Naan Basket,"basil, fish, pepper, broccoli",614.45,38,Combo
Jeera Aloo,"ginger, garlic, onion, pepper",172.03,29,Veg
Chilli Paneer,"chicken, egg, butter, capsicum, corn",239.39,23,Veg
Chilli Paneer,"carrot, cheese, lentils, basil, rice",498.65,30,Veg
Fish Curry,"corn, lentils, onion",304.6,8,Non-Veg
Palak Paneer,"pepper, capsicum, mushroom, ginger, onion",375.39,8,Veg
Masala Chai,"lentils, carrot, rice, spinach",407.3,28,Beverage
Mango Kulfi,"beef, mushroom, noodles, milk",607.34,24,Dessert
Kadai Paneer,"beef, cucumber, lentils, mushroom, chicken",546.26,15,Veg
Veg Spring Rolls,"mushroom, garlic, butter, chicken",356.81,44,Veg
Fruit Custard,"cucumber, oregano, butter, broccoli, paneer",251.31,21,Main Course
Bhindi Masala,"basil, garlic, rice, carrot",550.68,31,Beverage
Chicken Seekh Kebab,"tomato, spinach, beef",539.27,14,Non-Veg
Mix Vegetable,"yogurt, rice, paneer",580.01,5,Veg
Chilli Paneer,"cream, chicken, capsicum",313.57,32,Veg
Chicken Biryani,"chicken, oregano, capsicum, milk",454.14,21,Non-Veg
Chicken Seekh Kebab,"cucumber, flour, capsicum, oregano",463.24,5,Non-Veg
Chicken Do Pyaza,"oregano, noodles, ginger",309.69,41,Non-Veg
Dal Makhani,"chicken, milk, noodles, tomato",464.44,18,Veg
Fish Amritsari,"paneer, fish, tomato",338.11,7,Non-Veg
Masala Chai,"carrot, onion, egg, tomato, mushroom",269.99,44,Beverage
Veg Manchurian,"carrot, onion, mushroom, potato, lentils",432.72,10,Veg
Badam Milk,"corn, onion, oregano, paneer, basil",417.91,37,Beverage
Onion Bhaji,"pepper, garlic, yogurt, chicken",195.85,16,Starter
Grilled Fish,"cheese, cucumber, garlic, yogurt, spinach",425.69,28,Non-Veg
Naan Basket,"noodles, flour, chicken, cucumber, beef",382.03,33,Combo
Gulab Jamun,"corn, ginger, noodles, egg, spinach",427.27,19,Dessert
Bhindi Masala,"flour, potato, beef, fish, onion",241.02,11,Main Course
Badam Milk,"egg, paneer, yogurt, basil, mushroom",278.62,42,Beverage
Fruit Custard,"milk, flour, oregano, potato, pepper",125.04,6,Main Course
Paneer Tikka Masala,"carrot, garlic, rice",561.34,13,Veg
Green Tea,"basil, mushroom, broccoli, egg",125.06,31,Beverage
Paneer Bhurji,"fish, corn, oregano",264.93,14,Veg
Non-Veg Platter,"broccoli, spinach, corn",225.04,26,Veg
Rose Milk,"garlic, broccoli, corn, ginger",491.25,39,Beverage
Chicken Biryani,"corn, flour, cream",368.2,30,Non-Veg
Chilli Paneer,"beef, potato, flour, capsicum",394.08,12,Veg
Mutton Rogan Josh,"ginger, yogurt, spinach, cream",452.95,44,Non-Veg
Biryani Combo,"carrot, lentils, yogurt",446.15,13,Combo
Methi Malai Paneer,"carrot, broccoli, beef",205.48,21,Veg
Biryani Combo,"potato, flour, lentils, ginger",429.49,6,Combo
Veg Spring Rolls,"cheese, butter, cream, fish, potato",626.31,16,Veg
Chicken Biryani,"corn, pepper, cucumber, spinach",517.94,31,Non-Veg
Non-Veg Platter,"pepper, garlic, chicken, yogurt, cheese",455.93,10,Veg
Butter Chicken,"cheese, paneer, ginger, cucumber, corn",583.12,6,Non-Veg
Dal + Rice Combo,"cucumber, rice, noodles, flour",192.58,19,Veg
Kadai Paneer,"cream, potato, yogurt",259.02,18,Veg
Dal Makhani,"beef, onion, mushroom, fish",428.78,8,Veg
Veg Thali,"onion, flour, beef",375.61,9,Veg
Chicken Seekh Kebab,"beef, pepper, spinach, mushroom",174.92,29,Non-Veg
Biryani Combo,"broccoli, spinach, beef",623.48,18,Combo
Samosa,"broccoli, garlic, fish",474.05,13,Combo
Paneer Bhurji,"potato, corn, fish",128.19,9,Veg
Ras Malai,"flour, lentils, mushroom, tomato, cheese",157.4,23,Dessert
Egg Curry,"ginger, beef, cream, oregano, yogurt",271.3,45,Non-Veg
Chocolate Brownie,"ginger, lentils, beef, flour",403.34,28,Dessert
Green Tea,"carrot, pepper, milk, chicken, spinach",324.43,35,Beverage
Non-Veg Platter,"flour, cheese, spinach, paneer",431.71,7,Veg
Paneer Pakora,"lentils, broccoli, butter",248.6,43,Veg
Egg Curry,"fish, broccoli, potato, pepper",609.97,45,Non-Veg
Chicken Do Pyaza,"yogurt, tomato, spinach, fish, paneer",137.43,8,Non-Veg
Masala Chai,"paneer, yogurt, mushroom, beef",277.45,44,Beverage
Ice Cream Sundae,"spinach, oregano, ginger",378.73,20,Non-Veg
Paneer + Chicken Combo,"pepper, cucumber, spinach, fish, butter",485.96,33,Veg
Chicken Korma,"capsicum, fish, lentils, noodles",517.77,45,Non-Veg
Naan Basket,"corn, butter, mushroom, broccoli, potato",141.13,33,Combo
Masala Chai,"garlic, paneer, carrot, potato",517.76,16,Beverage
Shahi Paneer,"chicken, noodles, oregano",504.38,42,Veg
Shahi Paneer,"lentils, potato, chicken, oregano, egg",134.99,19,Veg
Fresh Lime Soda,"carrot, spinach, mushroom, yogurt, beef",126.75,17,Veg
Bhindi Masala,"mushroom, spinach, rice, egg",367.79,9,Combo
Naan Basket,"yogurt, mushroom, oregano, paneer, fish",122.23,27,Combo
Cold Coffee,"paneer, ginger, chicken, capsicum, basil",471.03,6,Beverage
Dal + Rice Combo,"basil, noodles, chicken, spinach",599.96,34,Veg
Chicken Tikka,"milk, butter, pepper, lentils, rice",271.03,35,Non-Veg
Mix Vegetable,"onion, spinach, yogurt, mushroom",430.84,21,Veg
Butter Milk,"fish, onion, rice, cucumber, egg",548.05,37,Beverage
Butter Chicken,"tomato, fish, beef, butter",384.83,9,Non-Veg
Ras Malai,"corn, broccoli, cheese, noodles",281.79,5,Dessert
Gajar Halwa,"cucumber, ginger, beef",622.06,32,Dessert
Cold Coffee,"beef, yogurt, basil, onion, capsicum",200.31,31,Beverage
Methi Malai Paneer,"spinach, oregano, milk, lentils, beef",599.24,39,Veg
Gajar Halwa,"rice, noodles, pepper",202.49,8,Dessert
Paneer Butter Masala,"cheese, tomato, fish, yogurt",646.36,21,Veg
Naan Basket,"cream, capsicum, cheese, ginger",488.71,27,Combo
Fresh Lime Soda,"corn, yogurt, fish, mushroom, basil",585.47,28,Dessert
Onion Bhaji,"mushroom, milk, pepper, fish, broccoli",292.47,17,Starter
Aloo Gobi,"cheese, corn, noodles, flour",631.3,9,Veg
Chana Masala,"basil, beef, cheese",184.94,23,Dessert
Dal Makhani,"potato, paneer, chicken, mushroom",602.1,27,Veg
Masala Chai,"yogurt, basil, spinach, noodles, chicken",631.92,5,Beverage
Chocolate Brownie,"corn, cheese, capsicum",646.78,9,Main Course
Chicken Tikka,"garlic, flour, onion, potato",349.79,45,Non-Veg
Egg Curry,"cream, milk, mushroom, yogurt, onion",632.22,17,Non-Veg
Chicken Biryani,"cucumber, pepper, cheese",354.29,26,Non-Veg
Rose Milk,"mushroom, cucumber, butter",497.19,42,Beverage
Jalebi,"carrot, broccoli, chicken, fish, basil",488.05,44,Main Course
Egg Curry,"mushroom, corn, carrot, ginger",160.73,13,Non-Veg
Rose Milk,"chicken, capsicum, rice, pepper, noodles",559.44,17,Beverage
Ice Cream Sundae,"lentils, noodles, cucumber, capsicum, rice",595.11,6,Starter
Chicken Do Pyaza,"yogurt, ginger, cucumber, mushroom, carrot",548.11,32,Non-Veg
Chana Masala,"cheese, cucumber, spinach",325.6,11,Veg
Shahi Paneer,"paneer, oregano, lentils, cucumber, capsicum",289.88,31,Veg
Chicken Biryani,"spinach, oregano, flour, noodles, capsicum",321.85,29,Non-Veg
Paneer Butter Masala,"butter, garlic, broccoli",260.51,40,Veg
Jeera Aloo,"yogurt, milk, egg, flour",329.4,40,Veg
Non-Veg Platter,"cucumber, yogurt, mushroom, garlic, flour",627.42,13,Veg
Mushroom Masala,"garlic, basil, paneer",183.76,40,Veg
Mutton Rogan Josh,"paneer, beef, flour",543.95,8,Non-Veg
Paneer Butter Masala,"beef, potato, spinach",178.03,24,Veg
Non-Veg Platter,"chicken, corn, cucumber, noodles, cheese",482.29,10,Veg
Beef Vindaloo,"beef, yogurt, cucumber, noodles",421.29,34,Non-Veg
Mix Vegetable,"mushroom, chicken, yogurt, tomato, pepper",560.3,14,Veg
Veg Manchurian,"capsicum, rice, garlic, paneer, spinach",232.15,5,Veg
Jeera Aloo,"rice, fish, mushroom",150.22,32,Veg
Mix Vegetable,"capsicum, spinach, chicken",443.42,24,Veg
Mix Vegetable,"beef, chicken, cheese",434.43,6,Veg
Jeera Aloo,"cream, beef, fish, carrot",527.56,7,Veg
Veg Spring Rolls,"basil, oregano, beef",366.67,39,Veg
Tandoori Platter,"capsicum, paneer, milk, spinach, flour",516.36,27,Combo
Jalebi,"pepper, corn, basil, capsicum, tomato",186.77,45,Non-Veg
Chilli Paneer,"onion, broccoli, potato, egg, rice",596.81,33,Veg
Chicken Do Pyaza,"garlic, milk, cucumber, flour, fish",279.66,43,Non-Veg
Mango Kulfi,"butter, cheese, paneer, flour",183.31,43,Dessert
Beef Vindaloo,"chicken, broccoli, potato, noodles, onion",245.3,5,Non-Veg
Cold Coffee,"lentils, corn, potato",344.34,38,Beverage
Ras Malai,"pepper, broccoli, paneer, mushroom",205.29,42,Dessert
Paneer Bhurji,"cucumber, pepper, carrot, milk",414.01,34,Veg
Tandoori Chicken,"milk, paneer, onion, garlic",443.81,10,Non-Veg
Mango Lassi,"potato, spinach, cheese, milk",553.21,41,Beverage
Masala Chai,"garlic, tomato, carrot, potato, paneer",384.86,34,Beverage
Rice Kheer,"cream, paneer, ginger",347.11,38,Dessert
Kadai Paneer,"spinach, onion, mushroom",337.95,15,Veg
Hara Bhara Kebab,"cheese, basil, fish, yogurt, spinach",247.18,6,Starter
Chana Masala,"rice, egg, basil, tomato, ginger",317.44,37,Combo
Naan Basket,"ginger, paneer, cream",229.36,34,Combo
Mango Kulfi,"rice, tomato, capsicum, fish, noodles",425.96,37,Dessert
Mutton Rogan Josh,"carrot, egg, tomato",178.53,17,Non-Veg
Fruit Custard,"broccoli, capsicum, garlic",216.8,35,Main Course
Grilled Fish,"fish, paneer, basil, butter",640.05,24,Non-Veg
Veg Manchurian,"corn, onion, capsicum",331.18,42,Veg
Fresh Lime Soda,"carrot, basil, ginger, oregano",506.52,33,Veg
Paneer Pakora,"noodles, garlic, yogurt",214.37,20,Veg
Sweet Lassi,"onion, cheese, spinach, fish",127.28,25,Beverage
Masala Chai,"garlic, cucumber, oregano",554.14,18,Beverage
Chicken Korma,"garlic, spinach, chicken, carrot",138.26,19,Non-Veg
Mutton Rogan Josh,"garlic, broccoli, beef, cream",121.46,19,Non-Veg
Tandoori Platter,"cheese, pepper, basil",579.79,30,Combo
Mix Vegetable,"yogurt, mushroom, paneer, corn",434.16,16,Veg
Egg Curry,"carrot, beef, fish, egg, pepper",569.94,28,Non-Veg
Green Tea,"cream, noodles, garlic, potato",135.98,13,Beverage
Corn Cheese Balls,"yogurt, carrot, lentils, butter",132.22,43,Veg
Dal + Rice Combo,"oregano, garlic, egg, paneer, beef",510.23,8,Veg
Paneer Butter Masala,"cucumber, egg, oregano, broccoli",438.88,33,Veg
Chicken Do Pyaza,"carrot, onion, cream, garlic",208.32,22,Non-Veg
Dessert Combo,"noodles, capsicum, tomato, corn, potato",142.43,24,Combo
Methi Malai Paneer,"noodles, chicken, flour, garlic, paneer",194.71,38,Veg
Naan Basket,"oregano, onion, rice, garlic, capsicum",645.03,22,Combo
Kadai Paneer,"milk, rice, carrot",500.54,23,Veg
Chocolate Brownie,"egg, corn, paneer, flour, beef",202.06,21,Beverage
Rasgulla,"beef, cream, lentils, potato",266.41,40,Dessert
Paneer + Chicken Combo,"chicken, pepper, milk, noodles",466.79,6,Veg
Masala Chai,"potato, butter, rice, egg",436.67,34,Beverage
Mushroom 65,"corn, ginger, yogurt, milk",194.84,41,Combo
Chocolate Brownie,"milk, chicken, flour, yogurt, butter",341.17,33,Veg
Tandoori Chicken,"cream, cucumber, broccoli, tomato",259.51,44,Non-Veg
Butter Milk,"tomato, capsicum, beef",347.91,27,Beverage
Beef Vindaloo,"milk, tomato, pepper, paneer, butter",333.49,35,Non-Veg
Mango Lassi,"onion, capsicum, noodles, butter, milk",314.38,41,Beverage
Chicken Do Pyaza,"beef, cucumber, cream, lentils",394.99,40,Non-Veg
Veg Manchurian,"carrot, cheese, broccoli, capsicum, yogurt",419.09,10,Veg
Hara Bhara Kebab,"butter, cream, noodles, yogurt, potato",463.83,5,Starter
Rice Kheer,"capsicum, cucumber, basil, broccoli",123.26,19,Dessert
Vegetable Korma,"cheese, yogurt, rice",572.85,44,Veg
Fruit Custard,"carrot, yogurt, butter, ginger",223.3,35,Dessert
Paneer Tikka Masala,"egg, basil, ginger, fish, onion",442.04,24,Veg
Mango Kulfi,"mushroom, pepper, capsicum, yogurt, chicken",641.81,28,Dessert
Chicken Korma,"cream, corn, milk",527.74,25,Non-Veg
Hara Bhara Kebab,"paneer, lentils, butter, cucumber, beef",138.94,14,Starter
Palak Paneer,"carrot, onion, ginger, basil",466.38,41,Veg
Methi Malai Paneer,"broccoli, mushroom, rice",341.19,6,Veg
Filter Coffee,"onion, corn, tomato",427.65,26,Beverage
Chana Masala,"lentils, potato, spinach, onion, butter",334.72,30,Beverage
Mango Kulfi,"butter, corn, paneer, yogurt",289.01,12,Dessert
Naan Basket,"broccoli, flour, butter",282.89,24,Combo
Naan Basket,"tomato, yogurt, corn",554.8,29,Combo
Paneer + Chicken Combo,"carrot, butter, potato, mushroom, onion",637.74,32,Veg
Paneer Butter Masala,"cheese, oregano, spinach",472.46,41,Veg
Samosa,"cucumber, onion, tomato, broccoli, milk",279.29,23,Main Course
Vegetable Korma,"lentils, potato, corn, fish",172.08,18,Veg
Chicken Biryani,"mushroom, lentils, flour, corn",142.2,14,Non-Veg
Kadai Paneer,"noodles, lentils, flour, rice",312.86,20,Veg
Dessert Combo,"flour, rice, yogurt, paneer, tomato",224.67,34,Combo
Hara Bhara Kebab,"pepper, tomato, yogurt, milk",593.18,13,Starter
Veg Thali,"butter, egg, milk, garlic",227.91,41,Veg
Grilled Fish,"yogurt, beef, garlic, ginger, paneer",587.43,21,Non-Veg
Vegetable Korma,"oregano, fish, beef, rice, butter",317.6,39,Veg
Beef Vindaloo,"corn, noodles, capsicum, broccoli, basil",419.53,24,Non-Veg
Rice Kheer,"potato, paneer, butter",520.8,23,Dessert
Egg Curry,"cucumber, corn, capsicum, butter",143.06,21,Non-Veg
Gajar Halwa,"broccoli, cucumber, paneer, beef, garlic",602.03,31,Dessert
Paneer Pakora,"capsicum, milk, flour, cream",425.89,5,Veg
Chocolate Brownie,"cheese, oregano, corn, spinach",303.16,39,Non-Veg
Beef Vindaloo,"potato, paneer, beef",198.54,41,Non-Veg
Beef Vindaloo,"egg, tomato, basil",609.78,29,Non-Veg
Chana Masala,"chicken, rice, lentils, flour",607.11,34,Main Course
Mutton Rogan Josh,"garlic, tomato, oregano, milk",452.58,17,Non-Veg
Veg Manchurian,"butter, fish, cucumber",439.25,32,Veg
Chocolate Brownie,"yogurt, lentils, capsicum, broccoli, chicken",315.47,26,Main Course
Chicken Korma,"chicken, capsicum, broccoli",525.35,8,Non-Veg
Grilled Fish,"butter, rice, mushroom",512.01,24,Non-Veg
Fish Curry,"lentils, flour, cucumber",410.91,14,Non-Veg
Family Meal Deal,"pepper, ginger, cream, cheese, tomato",363.64,45,Non-Veg
Gulab Jamun,"lentils, egg, paneer",627.68,27,Dessert
Badam Milk,"carrot, basil, tomato, garlic",186.35,36,Beverage
Onion Bhaji,"potato, beef, paneer, capsicum",248.33,33,Starter
Masala Chai,"tomato, egg, flour, garlic",428.8,13,Beverage
Fruit Custard,"egg, fish, butter",489.94,23,Beverage
Chicken Tikka,"pepper, carrot, cucumber",617.6,44,Non-Veg
Veg Manchurian,"lentils, basil, carrot",383.22,14,Veg
Mix Vegetable,"chicken, corn, potato, capsicum, butter",194.19,12,Veg
Chocolate Brownie,"flour, cucumber, cream, tomato, capsicum",638.54,19,Combo
Veg Spring Rolls,"yogurt, noodles, paneer",364.31,14,Veg
Rose Milk,"basil, beef, cucumber, butter",633.98,31,Beverage
Egg Curry,"ginger, milk, yogurt, lentils",312.46,24,Non-Veg
Hara Bhara Kebab,"yogurt, broccoli, carrot",615.28,21,Starter
Onion Bhaji,"mushroom, rice, butter, capsicum",287.53,28,Starter
Egg Curry,"cream, spinach, onion, noodles",374.68,36,Non-Veg
Shahi Paneer,"garlic, yogurt, rice",210.98,30,Veg
Vegetable Korma,"cucumber, yogurt, lentils, butter",559.6,7,Veg
Dal Makhani,"ginger, beef, noodles",326.75,11,Veg
Chicken Korma,"egg, ginger, potato, lentils, cheese",606.68,17,Non-Veg
Sweet Lassi,"cucumber, ginger, broccoli, noodles",586.73,31,Beverage
Badam Milk,"ginger, chicken, paneer, yogurt",390.43,32,Beverage
Mushroom Masala,"paneer, potato, milk",433.75,28,Beverage
Methi Malai Paneer,"egg, basil, rice",160.9,41,Veg
Chicken Korma,"corn, butter, yogurt",138.77,7,Non-Veg
Jeera Aloo,"spinach, fish, cucumber, beef, noodles",614.08,31,Veg
Rasgulla,"carrot, fish, lentils",422.94,15,Dessert
Starter Platter,"ginger, lentils, broccoli, cheese",328.93,43,Combo
Paneer + Chicken Combo,"onion, egg, cream, potato",151.3,14,Veg
Hara Bhara Kebab,"spinach, onion, capsicum, cucumber",361.49,44,Starter
Dessert Combo,"potato, beef, fish, capsicum",223.15,5,Combo
Mutton Rogan Josh,"cheese, butter, tomato, potato, oregano",626.49,34,Non-Veg
Ras Malai,"cream, cheese, beef, milk, basil",642.98,31,Dessert
Naan Basket,"chicken, capsicum, broccoli, carrot",200.3,18,Combo
