Dish Name,Ingredients Used,Price,Time Consumed,Menu Group
Paneer Tikka,"okra, onion, tomato, garlic",497.41,17,Beverage
Kheer,"egg, onion, tomato, spices",452.18,33,Dessert
Classic Veg Thali,"chicken, butter, cream, tomato, spices",276.02,42,Dessert
Veg Samosa,"paneer, butter, cream, tomato, onion",125.11,45,Veg
Special Veg Samosa,"flour, garlic, butter",271.69,37,Veg
Veg Pakora,"fish, tomato, onion, spices",389.67,41,Dessert
Tandoori Executive Lunch,"okra, onion, tomato, garlic",314.99,11,Veg
Hot Coffee,"rice, yogurt, spices, saffron",348.87,8,Beverage
Creamy Aloo Jeera,"okra, onion, tomato, garlic",571.84,20,Veg
Chicken Vindaloo,"spinach, paneer, cream, garlic",323.36,22,Non-Veg
Mushroom 65,"chicken, butter, cream, tomato, spices",335.37,40,Veg
Chana Masala,"milk, sugar, rose water",557.36,10,Combo
Tandoori Onion Bhaji,"noodles, vegetables, soy sauce",205.77,30,Veg
Chicken 65,"rice, yogurt, spices, saffron",234.84,34,Non-Veg
Green Tea,"potato, cauliflower, spices",647.41,40,Beverage
Creamy Mini Thali,"fish, tomato, onion, spices",632.32,42,Combo
Veg Korma,"paneer, butter, cream, tomato, onion",113.33,35,Dessert
Spicy Tandoori Chicken,"chicken, butter, cream, tomato, spices",566.01,9,Non-Veg
Methi Malai Paneer,"fish, tomato, onion, spices",313.13,41,Veg
Dal Makhani,"rice, yogurt, spices, saffron",456.42,41,Dessert
Jalebi,"fish, tomato, onion, spices",463.4,25,Dessert
Cheese Corn Balls,"egg, onion, tomato, spices",449.71,34,Main Course
Spicy Shahi Paneer,"mango, yogurt, sugar",647.79,9,Dessert
Paneer Tikka,"spinach, paneer, cream, garlic",612.29,9,Veg
Tandoori Mango Lassi,"flour, garlic, butter",391.92,24,Beverage
Palak Paneer,"milk, sugar, rose water",254.15,11,Veg
Special Cheese Corn Balls,"potato, cauliflower, spices",397.57,22,Main Course
Prawn Masala,"fish, tomato, onion, spices",473.44,21,Non-Veg
Special Mini Thali,"chicken, butter, cream, tomato, spices",443.37,22,Combo
Paneer Butter Masala,"spinach, paneer, cream, garlic",444.97,21,Veg
Fresh Lime Water,"rice, yogurt, spices, saffron",401.91,12,Veg
Chicken Korma,"flour, garlic, butter",293.61,40,Non-Veg
Creamy Hot Coffee,"mushroom, capsicum, onion, garlic",592.92,7,Beverage
Prawn Masala,"egg, onion, tomato, spices",143.08,40,Non-Veg
Rose Milk,"potato, cauliflower, spices",172.32,20,Beverage
Tandoori Chicken,"okra, onion, tomato, garlic",185.03,31,Non-Veg
Fish Amritsari,"mushroom, capsicum, onion, garlic",527.05,31,Non-Veg
Special Mushroom 65,"rice, yogurt, spices, saffron",577.77,35,Veg
Mutton Rogan Josh,"noodles, vegetables, soy sauce",282.56,19,Non-Veg
Mushroom Masala,"rice, yogurt, spices, saffron",270.47,9,Combo
Veg Pakora,"milk, sugar, rose water",310.82,39,Main Course
Creamy Mushroom Masala,"spinach, paneer, cream, garlic",413.03,21,Veg
Mix Veg,"mushroom, capsicum, onion, garlic",496.63,25,Veg
Paneer Do Pyaza,"mango, yogurt, sugar",192.39,7,Beverage
Spicy Hot Coffee,"egg, onion, tomato, spices",491.48,17,Beverage
Creamy Hot Coffee,"mango, yogurt, sugar",262.36,12,Beverage
Ras Malai,"egg, onion, tomato, spices",315.74,30,Dessert
Gulab Jamun,"fish, tomato, onion, spices",322.55,29,Dessert
Fish Amritsari,"lentils, butter, cream, tomato",314.43,5,Non-Veg
Spicy Chilli Paneer,"mango, yogurt, sugar",454.91,34,Veg
Fresh Lime Water,"milk, sugar, rose water",352.35,15,Beverage
Spicy Malai Kofta,"mushroom, capsicum, onion, garlic",137.76,20,Beverage
Classic Kheer,"spinach, paneer, cream, garlic",98.8,20,Dessert
Shahi Paneer,"chicken, rice, yogurt, spices",440.82,17,Beverage
Cold Coffee,"fish, tomato, onion, spices",168.38,5,Beverage
Mix Veg,"fish, tomato, onion, spices",184.38,38,Veg
Chana Masala,"chicken, rice, yogurt, spices",564.31,34,Non-Veg
Family Combo,"milk, sugar, rose water",421.43,33,Combo
Green Tea,"milk, sugar, rose water",336.94,15,Beverage
Executive Lunch,"okra, onion, tomato, garlic",224.69,45,Main Course
Mini Thali,"lentils, butter, cream, tomato",333.53,23,Combo
Papdi Chaat,"chicken, rice, yogurt, spices",390.19,13,Non-Veg
Veg Samosa,"spinach, paneer, cream, garlic",484.13,9,Veg
Rose Milk,"noodles, vegetables, soy sauce",319.91,18,Beverage
Badam Milk,"okra, onion, tomato, garlic",415.0,6,Beverage
Masala Chai,"mushroom, capsicum, onion, garlic",253.72,29,Beverage
Badam Milk,"potato, cauliflower, spices",393.56,43,Beverage
Tandoori Mini Thali,"noodles, vegetables, soy sauce",101.4,26,Combo
Butter Milk,"flour, garlic, butter",349.08,13,Beverage
Mushroom Masala,"mango, yogurt, sugar",403.88,6,Veg
Tandoori Green Tea,"spinach, paneer, cream, garlic",113.41,29,Beverage
Paneer Tikka,"mushroom, capsicum, onion, garlic",515.09,29,Main Course
Special Badam Milk,"noodles, vegetables, soy sauce",95.95,39,Beverage
Special Chocolate Brownie,"okra, onion, tomato, garlic",625.87,7,Dessert
Mushroom Masala,"fish, tomato, onion, spices",559.16,44,Veg
Special Onion Bhaji,"mango, yogurt, sugar",620.48,34,Beverage
Hara Bhara Kebab,"spinach, paneer, cream, garlic",427.33,12,Combo
Tandoori Chicken,"chicken, butter, cream, tomato, spices",411.96,24,Non-Veg
Masala Chai,"potato, cauliflower, spices",197.06,42,Beverage
Creamy Mushroom 65,"flour, garlic, butter",471.61,12,Combo
Dal Makhani,"rice, yogurt, spices, saffron",458.76,9,Dessert
Tandoori Fruit Custard,"flour, garlic, butter",361.96,32,Dessert
Non-Veg Thali,"rice, yogurt, spices, saffron",184.52,38,Beverage
Papdi Chaat,"chicken, rice, yogurt, spices",389.07,35,Starter
Hot Coffee,"mango, yogurt, sugar",236.64,20,Beverage
Tandoori Bhindi Masala,"fish, tomato, onion, spices",509.02,41,Dessert
Masala Chai,"noodles, vegetables, soy sauce",565.79,16,Beverage
Paneer Tikka,"lentils, butter, cream, tomato",277.29,43,Beverage
Veg Pakora,"milk, sugar, rose water",620.66,10,Veg
Rose Milk,"okra, onion, tomato, garlic",220.78,35,Beverage
Mini Thali,"paneer, butter, cream, tomato, onion",137.58,19,Combo
Mushroom 65,"mango, yogurt, sugar",293.5,40,Dessert
Chocolate Brownie,"potato, cauliflower, spices",395.97,27,Dessert
Creamy Non-Veg Thali,"fish, tomato, onion, spices",153.17,17,Main Course
Butter Chicken,"okra, onion, tomato, garlic",474.94,17,Non-Veg
Spicy Tandoori Platter,"okra, onion, tomato, garlic",381.42,23,Combo
Creamy Chicken Vindaloo,"spinach, paneer, cream, garlic",255.78,39,Non-Veg
Special Veg Pakora,"milk, sugar, rose water",250.06,13,Beverage
Special Mini Thali,"mango, yogurt, sugar",245.65,35,Combo
Special Fruit Custard,"lentils, butter, cream, tomato",616.7,35,Dessert
Methi Malai Paneer,"chicken, butter, cream, tomato, spices",411.02,8,Veg
Chicken Korma,"lentils, butter, cream, tomato",133.13,20,Non-Veg
Badam Milk,"okra, onion, tomato, garlic",434.41,38,Beverage
Veg Thali,"lentils, butter, cream, tomato",570.99,32,Main Course
Veg Korma,"potato, cauliflower, spices",141.07,18,Beverage
Special Paneer Tikka,"spinach, paneer, cream, garlic",220.52,40,Veg
Tandoori Tandoori Chicken,"potato, cauliflower, spices",420.5,23,Non-Veg
Creamy Veg Samosa,"potato, cauliflower, spices",570.68,9,Beverage
Veg Samosa,"okra, onion, tomato, garlic",532.05,42,Beverage
Mutton Rogan Josh,"milk, sugar, rose water",212.02,14,Non-Veg
Classic Fish Curry,"okra, onion, tomato, garlic",258.8,41,Non-Veg
Creamy Fresh Lime Water,"potato, cauliflower, spices",312.42,22,Dessert
Dinner Special,"mango, yogurt, sugar",107.52,32,Beverage
Mango Kulfi,"paneer, butter, cream, tomato, onion",136.6,41,Dessert
Kadai Paneer,"egg, onion, tomato, spices",549.1,41,Veg
Fish Amritsari,"egg, onion, tomato, spices",334.86,22,Non-Veg
Hot Coffee,"noodles, vegetables, soy sauce",632.52,35,Beverage
Rose Milk,"egg, onion, tomato, spices",144.1,15,Beverage
Rose Milk,"lentils, butter, cream, tomato",459.36,30,Beverage
Aloo Gobi,"mushroom, capsicum, onion, garlic",227.61,12,Combo
Butter Milk,"flour, garlic, butter",643.29,39,Beverage
Spicy Rose Milk,"mushroom, capsicum, onion, garlic",436.79,36,Beverage
Fresh Lime Water,"fish, tomato, onion, spices",235.89,13,Main Course
Fresh Lime Water,"noodles, vegetables, soy sauce",153.61,45,Dessert
Onion Bhaji,"lentils, butter, cream, tomato",396.22,40,Starter
Special Bhindi Masala,"noodles, vegetables, soy sauce",620.09,14,Veg
Gulab Jamun,"lentils, butter, cream, tomato",319.75,35,Dessert
Mushroom 65,"spinach, paneer, cream, garlic",301.73,43,Dessert
Chicken Biryani,"lentils, butter, cream, tomato",521.56,31,Non-Veg
Papdi Chaat,"lentils, butter, cream, tomato",495.22,42,Dessert
Mini Thali,"noodles, vegetables, soy sauce",389.3,27,Combo
Masala Chai,"mushroom, capsicum, onion, garlic",576.32,20,Beverage
Tandoori Cold Coffee,"paneer, butter, cream, tomato, onion",264.77,35,Beverage
Masala Chai,"egg, onion, tomato, spices",532.7,14,Beverage
Spicy Aloo Gobi,"mushroom, capsicum, onion, garlic",576.38,33,Veg
Classic Non-Veg Thali,"rice, yogurt, spices, saffron",577.08,14,Veg
Executive Lunch,"lentils, butter, cream, tomato",276.29,30,Beverage
Malai Kofta,"flour, garlic, butter",466.01,39,Starter
Jalebi,"chicken, rice, yogurt, spices",514.06,39,Dessert
Creamy Methi Malai Paneer,"fish, tomato, onion, spices",506.92,32,Veg
Aloo Jeera,"potato, cauliflower, spices",254.2,6,Veg
Mango Kulfi,"lentils, butter, cream, tomato",287.53,32,Dessert
Mushroom 65,"mango, yogurt, sugar",470.22,16,Veg
Tandoori Fish Amritsari,"mango, yogurt, sugar",470.97,36,Non-Veg
Creamy Fish Curry,"noodles, vegetables, soy sauce",229.26,5,Non-Veg
Family Combo,"egg, onion, tomato, spices",393.83,9,Combo
Chocolate Brownie,"lentils, butter, cream, tomato",446.0,32,Dessert
Hara Bhara Kebab,"lentils, butter, cream, tomato",197.56,29,Combo
Tandoori Tandoori Platter,"mango, yogurt, sugar",287.81,23,Combo
Tandoori Gulab Jamun,"lentils, butter, cream, tomato",89.58,8,Dessert
Dinner Special,"chicken, rice, yogurt, spices",246.7,19,Dessert
Classic Rice Pudding,"mango, yogurt, sugar",226.6,13,Beverage
Aloo Jeera,"egg, onion, tomato, spices",107.27,33,Veg
Badam Halwa,"chicken, butter, cream, tomato, spices",598.94,25,Dessert
Classic Badam Milk,"okra, onion, tomato, garlic",389.77,28,Beverage
Papdi Chaat,"lentils, butter, cream, tomato",601.44,35,Combo
Gulab Jamun,"mushroom, capsicum, onion, garlic",539.39,34,Dessert
Fish Curry,"fish, tomato, onion, spices",570.98,30,Non-Veg
Tandoori Badam Halwa,"paneer, butter, cream, tomato, onion",234.42,12,Dessert
Mango Lassi,"egg, onion, tomato, spices",233.12,29,Beverage
Classic Mango Lassi,"noodles, vegetables, soy sauce",99.14,40,Beverage
Chicken Tikka,"egg, onion, tomato, spices",550.48,24,Non-Veg
Special Rose Milk,"paneer, butter, cream, tomato, onion",256.97,36,Beverage
Spicy Aloo Jeera,"spinach, paneer, cream, garlic",304.58,28,Beverage
Badam Milk,"potato, cauliflower, spices",172.31,31,Beverage
Aloo Jeera,"mango, yogurt, sugar",315.59,22,Veg
Tandoori Mango Lassi,"fish, tomato, onion, spices",568.33,11,Beverage
Mango Lassi,"egg, onion, tomato, spices",287.65,30,Beverage
Chicken Vindaloo,"flour, garlic, butter",550.67,10,Non-Veg
Paneer Tikka,"mango, yogurt, sugar",633.67,8,Combo
Classic Gajar Halwa,"okra, onion, tomato, garlic",403.99,9,Dessert
Prawn Masala,"flour, garlic, butter",576.38,26,Non-Veg
Fish Curry,"mango, yogurt, sugar",86.6,14,Non-Veg
Hara Bhara Kebab,"chicken, butter, cream, tomato, spices",458.5,6,Non-Veg
Palak Paneer,"okra, onion, tomato, garlic",219.43,25,Veg
Classic Fish Amritsari,"potato, cauliflower, spices",322.84,12,Non-Veg
Methi Malai Paneer,"okra, onion, tomato, garlic",289.55,42,Veg
Veg Thali,"mango, yogurt, sugar",109.5,38,Main Course
Non-Veg Thali,"paneer, butter, cream, tomato, onion",119.37,35,Combo
Butter Milk,"chicken, butter, cream, tomato, spices",362.0,33,Beverage
Malai Kofta,"spinach, paneer, cream, garlic",122.11,22,Dessert
Mango Kulfi,"mango, yogurt, sugar",384.76,34,Dessert
Special Hot Coffee,"flour, garlic, butter",454.91,40,Beverage
Paneer Tikka,"chicken, rice, yogurt, spices",214.1,26,Combo
Non-Veg Thali,"potato, cauliflower, spices",138.72,32,Main Course
Hara Bhara Kebab,"spinach, paneer, cream, garlic",473.05,35,Veg
Bhindi Masala,"chicken, butter, cream, tomato, spices",329.01,28,Combo
Chicken Tikka Masala,"mango, yogurt, sugar",625.49,40,Non-Veg
Butter Chicken,"flour, garlic, butter",460.92,32,Non-Veg
Chana Masala,"mango, yogurt, sugar",261.53,11,Dessert
Tandoori Paneer Tikka,"fish, tomato, onion, spices",563.71,27,Combo
Creamy Mango Lassi,"mango, yogurt, sugar",212.78,32,Beverage
Mushroom Masala,"egg, onion, tomato, spices",553.65,22,Veg
Creamy Egg Curry,"chicken, rice, yogurt, spices",277.0,5,Non-Veg
Fish Curry,"rice, yogurt, spices, saffron",124.32,45,Non-Veg
Bhindi Masala,"fish, tomato, onion, spices",297.55,34,Main Course
Tandoori Chicken,"potato, cauliflower, spices",268.28,41,Non-Veg
Malai Kofta,"spinach, paneer, cream, garlic",173.94,44,Veg
Tandoori Malai Kofta,"noodles, vegetables, soy sauce",428.0,31,Main Course
Paneer Tikka,"chicken, butter, cream, tomato, spices",280.02,12,Main Course
Mini Thali,"lentils, butter, cream, tomato",110.66,30,Combo
Creamy Veg Korma,"fish, tomato, onion, spices",518.55,21,Main Course
Tandoori Mango Kulfi,"potato, cauliflower, spices",328.32,13,Dessert
Veg Samosa,"flour, garlic, butter",462.45,27,Veg
Lemon Soda,"paneer, butter, cream, tomato, onion",331.46,34,Beverage
Jalebi,"mango, yogurt, sugar",313.5,45,Dessert
Special Gulab Jamun,"mushroom, capsicum, onion, garlic",182.11,44,Dessert
Special Badam Halwa,"fish, tomato, onion, spices",331.16,30,Dessert
Malai Kofta,"lentils, butter, cream, tomato",506.38,19,Main Course
Special Chicken 65,"milk, sugar, rose water",373.12,27,Non-Veg
Classic Fish Curry,"lentils, butter, cream, tomato",196.46,43,Non-Veg
Tandoori Shahi Paneer,"noodles, vegetables, soy sauce",511.26,42,Veg
Mango Kulfi,"egg, onion, tomato, spices",263.62,33,Dessert
Executive Lunch,"lentils, butter, cream, tomato",534.93,42,Veg
Rice Pudding,"lentils, butter, cream, tomato",345.88,7,Veg
Mango Lassi,"chicken, butter, cream, tomato, spices",449.24,10,Beverage
Cold Coffee,"milk, sugar, rose water",624.14,7,Beverage
Chicken Vindaloo,"noodles, vegetables, soy sauce",368.27,8,Non-Veg
Mix Veg,"flour, garlic, butter",279.04,10,Dessert
Tandoori Fish Amritsari,"noodles, vegetables, soy sauce",381.1,44,Non-Veg
Badam Halwa,"lentils, butter, cream, tomato",303.89,26,Dessert
Chana Masala,"egg, onion, tomato, spices",274.08,26,Veg
Spicy Cold Coffee,"flour, garlic, butter",169.96,10,Beverage
Fish Curry,"lentils, butter, cream, tomato",631.75,30,Non-Veg
Malai Kofta,"rice, yogurt, spices, saffron",448.57,26,Combo
Chicken Tikka Masala,"flour, garlic, butter",620.12,38,Non-Veg
Green Tea,"paneer, butter, cream, tomato, onion",289.87,16,Beverage
Fruit Custard,"noodles, vegetables, soy sauce",193.48,13,Dessert
Special Shahi Paneer,"milk, sugar, rose water",520.54,38,Veg
Fruit Custard,"mango, yogurt, sugar",159.04,29,Dessert
Spicy Tandoori Chicken,"okra, onion, tomato, garlic",595.0,33,Non-Veg
Rose Milk,"potato, cauliflower, spices",219.2,33,Beverage
Chilli Paneer,"okra, onion, tomato, garlic",338.64,39,Veg
Kheer,"okra, onion, tomato, garlic",349.99,17,Dessert
Fresh Lime Water,"lentils, butter, cream, tomato",524.64,37,Dessert
Badam Milk,"flour, garlic, butter",197.83,43,Beverage
Tandoori Hara Bhara Kebab,"flour, garlic, butter",294.73,11,Beverage
Classic Butter Chicken,"lentils, butter, cream, tomato",338.87,37,Non-Veg
Classic Hot Coffee,"flour, garlic, butter",339.89,27,Beverage
Spicy Badam Milk,"mushroom, capsicum, onion, garlic",218.21,10,Beverage
Special Chicken Tikka,"flour, garlic, butter",488.81,26,Non-Veg
Creamy Fish Curry,"chicken, rice, yogurt, spices",553.82,13,Non-Veg
Executive Lunch,"paneer, butter, cream, tomato, onion",596.81,6,Main Course
Paneer Tikka,"milk, sugar, rose water",616.23,43,Dessert
Creamy Green Tea,"fish, tomato, onion, spices",255.15,8,Beverage
Badam Milk,"mango, yogurt, sugar",343.27,12,Beverage
Dinner Special,"paneer, butter, cream, tomato, onion",442.05,41,Non-Veg
Special Fish Curry,"mango, yogurt, sugar",284.34,41,Non-Veg
Egg Curry,"chicken, butter, cream, tomato, spices",380.77,28,Non-Veg
Kadai Paneer,"noodles, vegetables, soy sauce",109.6,29,Main Course
Hara Bhara Kebab,"mushroom, capsicum, onion, garlic",530.51,27,Non-Veg
Mix Veg,"potato, cauliflower, spices",512.52,13,Veg
Rice Pudding,"flour, garlic, butter",448.18,34,Beverage
Tandoori Platter,"okra, onion, tomato, garlic",161.19,34,Combo
Classic Gulab Jamun,"chicken, rice, yogurt, spices",108.68,24,Dessert
Lemon Soda,"milk, sugar, rose water",352.47,7,Beverage
Special Chicken Vindaloo,"flour, garlic, butter",455.49,22,Non-Veg
Mango Lassi,"rice, yogurt, spices, saffron",504.97,29,Beverage
Egg Curry,"noodles, vegetables, soy sauce",292.55,38,Non-Veg
Malai Kofta,"chicken, butter, cream, tomato, spices",328.29,16,Dessert
Gulab Jamun,"chicken, butter, cream, tomato, spices",270.27,23,Dessert
Veg Thali,"rice, yogurt, spices, saffron",179.15,33,Main Course
Creamy Veg Thali,"mango, yogurt, sugar",648.96,22,Beverage
Tandoori Veg Korma,"mushroom, capsicum, onion, garlic",374.89,15,Veg
Fish Curry,"egg, onion, tomato, spices",526.44,7,Non-Veg
Creamy Methi Malai Paneer,"mushroom, capsicum, onion, garlic",301.31,41,Veg
Chicken Korma,"mushroom, capsicum, onion, garlic",295.19,9,Non-Veg
Chicken Biryani,"rice, yogurt, spices, saffron",262.63,22,Non-Veg
Classic Paneer Do Pyaza,"noodles, vegetables, soy sauce",377.53,40,Veg
Cheese Corn Balls,"potato, cauliflower, spices",337.14,44,Main Course
Classic Mini Thali,"flour, garlic, butter",126.84,16,Combo
Fresh Lime Water,"okra, onion, tomato, garlic",470.29,25,Beverage
Chocolate Brownie,"milk, sugar, rose water",391.33,24,Dessert
Tandoori Chicken,"chicken, rice, yogurt, spices",480.62,16,Non-Veg
Badam Halwa,"chicken, butter, cream, tomato, spices",641.6,13,Dessert
Spicy Dinner Special,"mango, yogurt, sugar",293.43,40,Non-Veg
Tandoori Bhindi Masala,"potato, cauliflower, spices",491.16,38,Veg
Rose Milk,"chicken, butter, cream, tomato, spices",155.81,25,Beverage
Shahi Paneer,"egg, onion, tomato, spices",377.31,13,Combo
Egg Curry,"spinach, paneer, cream, garlic",329.43,8,Non-Veg
Butter Chicken,"lentils, butter, cream, tomato",178.03,25,Non-Veg
Chicken Tikka,"milk, sugar, rose water",590.63,10,Non-Veg
Mutton Rogan Josh,"milk, sugar, rose water",240.06,45,Non-Veg
Bhindi Masala,"spinach, paneer, cream, garlic",419.37,42,Veg
Chicken 65,"potato, cauliflower, spices",594.63,26,Non-Veg
Dal Makhani,"paneer, butter, cream, tomato, onion",130.89,41,Main Course
Prawn Masala,"rice, yogurt, spices, saffron",434.23,6,Non-Veg
Gulab Jamun,"lentils, butter, cream, tomato",357.86,30,Dessert
Special Non-Veg Thali,"spinach, paneer, cream, garlic",333.38,35,Veg
Prawn Masala,"spinach, paneer, cream, garlic",261.61,25,Non-Veg
Chocolate Brownie,"spinach, paneer, cream, garlic",514.78,37,Dessert
Mix Veg,"noodles, vegetables, soy sauce",154.22,33,Veg
Creamy Fish Curry,"rice, yogurt, spices, saffron",573.25,31,Non-Veg
Tandoori Chicken,"chicken, rice, yogurt, spices",411.39,25,Non-Veg
Tandoori Chicken,"milk, sugar, rose water",348.75,24,Non-Veg
Tandoori Kadai Paneer,"milk, sugar, rose water",343.34,20,Veg
Creamy Rice Pudding,"noodles, vegetables, soy sauce",422.6,35,Main Course
Palak Paneer,"rice, yogurt, spices, saffron",160.67,21,Beverage
Badam Halwa,"mushroom, capsicum, onion, garlic",110.56,8,Dessert
Chicken Vindaloo,"lentils, butter, cream, tomato",126.55,37,Non-Veg
Veg Pakora,"mango, yogurt, sugar",469.43,12,Veg
Aloo Jeera,"okra, onion, tomato, garlic",642.54,40,Main Course
Spicy Fish Curry,"rice, yogurt, spices, saffron",367.54,7,Non-Veg
Chicken Biryani,"okra, onion, tomato, garlic",352.67,34,Non-Veg
Chicken Biryani,"mango, yogurt, sugar",264.97,30,Non-Veg
Ras Malai,"milk, sugar, rose water",552.98,39,Dessert
Ras Malai,"paneer, butter, cream, tomato, onion",293.12,12,Dessert
Kheer,"potato, cauliflower, spices",577.74,45,Dessert
Spicy Executive Lunch,"mango, yogurt, sugar",213.56,8,Dessert
Spicy Tandoori Platter,"okra, onion, tomato, garlic",560.26,14,Combo
Special Mushroom 65,"fish, tomato, onion, spices",95.7,25,Veg
Chicken Korma,"fish, tomato, onion, spices",316.86,44,Non-Veg
Veg Korma,"milk, sugar, rose water",202.15,25,Beverage
Tandoori Platter,"mushroom, capsicum, onion, garlic",625.53,34,Combo
Fruit Custard,"egg, onion, tomato, spices",521.17,21,Dessert
Classic Tandoori Platter,"lentils, butter, cream, tomato",400.32,19,Combo
Chilli Paneer,"potato, cauliflower, spices",483.32,25,Veg
Chocolate Brownie,"chicken, rice, yogurt, spices",534.4,22,Dessert
Butter Chicken,"milk, sugar, rose water",299.53,30,Non-Veg
Chocolate Brownie,"okra, onion, tomato, garlic",167.76,7,Dessert
Malai Kofta,"noodles, vegetables, soy sauce",455.62,35,Non-Veg
Mutton Rogan Josh,"lentils, butter, cream, tomato",612.16,22,Non-Veg
Mix Veg,"mango, yogurt, sugar",220.19,8,Beverage
Chicken Tikka,"paneer, butter, cream, tomato, onion",141.61,26,Non-Veg
Classic Executive Lunch,"paneer, butter, cream, tomato, onion",629.95,15,Starter
Executive Lunch,"fish, tomato, onion, spices",512.09,23,Main Course
Chilli Paneer,"chicken, rice, yogurt, spices",519.33,41,Veg
Aloo Gobi,"spinach, paneer, cream, garlic",321.11,16,Veg
Lemon Soda,"spinach, paneer, cream, garlic",614.18,23,Beverage
Spicy Palak Paneer,"chicken, butter, cream, tomato, spices",609.58,26,Main Course
Non-Veg Thali,"milk, sugar, rose water",381.24,13,Combo
Special Family Combo,"mushroom, capsicum, onion, garlic",176.81,34,Combo
Hara Bhara Kebab,"paneer, butter, cream, tomato, onion",501.19,23,Dessert
Tandoori Chicken Vindaloo,"flour, garlic, butter",326.65,25,Non-Veg
Butter Milk,"spinach, paneer, cream, garlic",639.65,35,Beverage
Tandoori Mushroom 65,"fish, tomato, onion, spices",337.41,22,Main Course
Ras Malai,"mango, yogurt, sugar",91.46,28,Dessert
Special Onion Bhaji,"noodles, vegetables, soy sauce",258.35,30,Beverage
Kheer,"egg, onion, tomato, spices",602.61,23,Dessert
Classic Chicken Tikka,"noodles, vegetables, soy sauce",171.55,43,Non-Veg
Badam Milk,"chicken, rice, yogurt, spices",351.02,39,Beverage
Paneer Tikka,"egg, onion, tomato, spices",511.43,10,Dessert
Veg Thali,"mushroom, capsicum, onion, garlic",129.13,41,Veg
Veg Korma,"chicken, rice, yogurt, spices",370.6,41,Dessert
Spicy Chicken Korma,"noodles, vegetables, soy sauce",150.68,18,Non-Veg
Spicy Mini Thali,"noodles, vegetables, soy sauce",541.91,34,Combo
Badam Milk,"paneer, butter, cream, tomato, onion",400.72,24,Beverage
Kadai Paneer,"flour, garlic, butter",86.7,18,Dessert
Creamy Shahi Paneer,"potato, cauliflower, spices",121.02,8,Veg
Tandoori Executive Lunch,"spinach, paneer, cream, garlic",519.47,31,Main Course
Masala Chai,"chicken, rice, yogurt, spices",597.32,29,Beverage
Chicken Biryani,"mushroom, capsicum, onion, garlic",152.03,39,Non-Veg
Chicken Tikka Masala,"fish, tomato, onion, spices",556.67,6,Non-Veg
Family Combo,"milk, sugar, rose water",324.63,29,Combo
Creamy Veg Samosa,"spinach, paneer, cream, garlic",240.74,12,Veg
Badam Milk,"chicken, rice, yogurt, spices",584.32,6,Beverage
Spicy Prawn Masala,"paneer, butter, cream, tomato, onion",337.24,8,Non-Veg
Dal Makhani,"fish, tomato, onion, spices",389.96,8,Veg
Spicy Gulab Jamun,"mushroom, capsicum, onion, garlic",411.27,25,Dessert
Ras Malai,"egg, onion, tomato, spices",379.51,31,Dessert
Spicy Veg Pakora,"chicken, rice, yogurt, spices",500.39,16,Beverage
Green Tea,"paneer, butter, cream, tomato, onion",634.34,29,Beverage
Jalebi,"rice, yogurt, spices, saffron",169.31,29,Dessert
Classic Executive Lunch,"lentils, butter, cream, tomato",569.51,14,Combo
