Dish Name,Ingredients,Price,Calories,Category
Gulab Curry,"mutton, noodles, prawn, soy sauce, potato",498.71,14,Main Course
Malai Biryani,"egg, okra, capsicum",678.46,31,Non-Veg
Masala Kebab,"mushroom, spinach, onion",395.24,8,Starter
Malai Bhaji,"yogurt, mushroom, flour, spices",187.75,22,Dessert
Papdi Chaat,"soy sauce, cream, flour, spinach",696.61,31,Dessert
Palak Bhaji,"lentils, noodles, cream",322.59,16,Combo
Cheese Corn Pulao,"cream, saffron, tomato, paneer, prawn",331.33,13,Bread
Masala Halwa,"rice, lemon, milk, potato, soy sauce",310.68,39,Bread
Aloo Naan,"capsicum, nuts, prawn",216.69,49,Beverage
Gobi Curry,"saffron, cream, fish, noodles, tomato, prawn, chicken",576.38,15,Beverage
Spicy Jamun,"fish, potato, cashew, egg, rice, capsicum",75.8,43,Starter
Chicken Jamun,"lentils, rice, cashew, cauliflower",334.37,41,Dessert
Spicy Pulao,"onion, capsicum, lentils, paneer, lemon, sugar, garlic",64.76,10,Bread
Mango Thali,"chicken, butter, milk, yogurt, spices",556.52,30,Beverage
Fish Chaat,"potato, lemon, chicken, yogurt, capsicum, rice, onion",558.05,24,Veg
Papdi Korma,"milk, soy sauce, saffron, paneer, butter, mutton",121.19,44,Bread
Gulab Tikka,"cashew, capsicum, spinach, potato",145.82,11,Beverage
Ras Samosa,"cream, saffron, spices, lentils, fish, flour",61.94,47,Combo
Dal Masala,"spices, nuts, noodles, tomato, cashew, lemon, garlic",77.35,43,Bread
Butter Kebab,"cauliflower, ginger, potato, chicken, mushroom, egg",62.06,49,Combo
Mutton Pulao,"spices, nuts, ginger, noodles",217.3,13,Beverage
Prawn Tikka,"onion, spices, saffron",317.78,7,Dessert
Creamy Kebab,"spinach, sugar, spices, nuts",681.18,28,Bread
Cheese Corn Pulao,"prawn, rice, cream, cauliflower, tomato",360.14,10,Starter
Creamy Biryani,"spices, saffron, ginger, nuts, egg",222.57,36,Main Course
Fresh Lime Thali,"mutton, yogurt, butter, onion",634.8,37,Dessert
Onion Curry,"spinach, okra, tomato, lemon, capsicum, cauliflower, yogurt",91.48,48,Combo
Dal Korma,"cashew, capsicum, mutton, garlic, ginger, yogurt, egg",580.62,15,Bread
Chole Korma,"lentils, egg, cream, fish, lemon, cashew, spices",453.3,31,Non-Veg
Chicken Kebab,"tomato, capsicum, saffron, soy sauce",137.24,9,Bread
Classic Lassi,"noodles, nuts, rice, potato, prawn, soy sauce",166.81,7,Non-Veg
Masala Samosa,"lentils, potato, paneer, prawn",443.94,28,Bread
Methi Curry,"fish, potato, spinach, cashew",353.29,40,Non-Veg
Fish Balls,"noodles, mushroom, nuts",131.89,38,Main Course
Prawn Lassi,"onion, prawn, cauliflower, noodles",307.27,20,Veg
Jeera Rice,"cream, chicken, fish, egg, cauliflower, garlic, soy sauce",201.84,27,Main Course
Dal Lassi,"nuts, cauliflower, paneer, chicken, okra",315.84,8,Bread
Cold Coffee Naan,"potato, nuts, saffron, cream, capsicum, garlic, sugar",497.1,24,Veg
Special Bhaji,"potato, mutton, spinach, okra, fish",323.48,40,Bread
Dal Curry,"garlic, cauliflower, rice, prawn, flour, tomato",527.38,39,Beverage
Chicken Lassi,"soy sauce, tomato, mutton",581.05,23,Bread
Veg Kebab,"okra, lentils, capsicum, soy sauce, cream",254.48,10,Beverage
Gobi Korma,"mushroom, rice, butter",148.1,26,Main Course
Chicken Rice,"spices, butter, lemon, milk",499.29,19,Bread
Ras Halwa,"tomato, sugar, butter, soy sauce, lemon",134.61,38,Veg
Methi Halwa,"mushroom, ginger, rice, garlic, milk, chicken",391.04,29,Starter
Onion Bhaji,"yogurt, egg, nuts, ginger",634.89,25,Dessert
Methi Thali,"butter, rice, cashew, lentils, onion, saffron",56.51,6,Combo
Prawn Pulao,"tomato, spinach, rose water, okra",407.8,27,Veg
Spicy Curry,"cream, paneer, saffron, yogurt, capsicum, fish, egg",347.12,18,Non-Veg
Mango Jamun,"tomato, egg, lentils, prawn, ginger",247.69,37,Main Course
Special Thali,"soy sauce, lemon, butter, garlic, milk, potato, noodles",564.28,10,Starter
Palak Balls,"potato, prawn, cream, mushroom, fish, tomato, spinach",434.65,45,Starter
Palak Jamun,"okra, yogurt, sugar, onion, butter, lemon, mutton",59.46,34,Veg
Hara Bhara Curry,"ginger, butter, spices",684.43,7,Bread
Papdi Jamun,"spinach, potato, cream, mutton, tomato, butter, milk",211.24,35,Starter
Fish Lassi,"lemon, noodles, mushroom, egg, rose water",394.08,21,Non-Veg
Lemon Curry,"flour, cashew, spinach, nuts, milk, butter, onion",520.29,18,Main Course
Lemon Naan,"cream, saffron, paneer, fish, flour",110.02,44,Starter
Papdi Halwa,"potato, rose water, okra",430.38,45,Beverage
Palak Lassi,"fish, prawn, spinach, garlic",429.7,5,Dessert
Prawn Samosa,"okra, cream, butter, yogurt, onion, ginger",517.73,19,Main Course
Chole Thali,"cauliflower, okra, egg, capsicum",113.59,45,Bread
Chicken Kebab,"onion, ginger, sugar, capsicum, cream, mushroom, egg",608.48,47,Non-Veg
Cold Coffee Tikka,"soy sauce, cashew, rice, mushroom",53.64,5,Dessert
Mango Bhaji,"nuts, cauliflower, mutton, rice, lemon, rose water",477.2,26,Starter
Creamy Thali,"tomato, sugar, butter, mutton, capsicum, mushroom",176.09,21,Veg
Malai Thali,"capsicum, potato, noodles",587.51,43,Starter
Creamy Kebab,"fish, sugar, cream",378.65,7,Combo
Mango Halwa,"fish, potato, paneer",256.38,15,Bread
Onion Biryani,"fish, yogurt, mushroom, soy sauce, saffron",352.79,44,Bread
Veg Chaat,"milk, cashew, capsicum, cream, noodles, tomato",217.77,33,Bread
Dal Balls,"ginger, milk, spices",602.9,17,Non-Veg
Methi Thali,"butter, noodles, lemon, milk, garlic, okra, mushroom",489.39,22,Beverage
Creamy Thali,"lemon, egg, soy sauce, noodles, spinach, lentils, potato",506.22,19,Main Course
Cheese Corn Naan,"garlic, spinach, butter, mushroom",341.17,22,Combo
Lemon Kebab,"fish, cream, lentils",114.28,18,Veg
Creamy Tikka,"mutton, saffron, rice, rose water, okra, paneer, nuts",278.83,39,Main Course
Aloo Masala,"capsicum, garlic, cauliflower",159.99,32,Starter
Lemon Bhaji,"saffron, paneer, butter, fish, cauliflower, spinach, rice",225.73,8,Dessert
Masala Lassi,"egg, sugar, potato, paneer",493.39,30,Combo
Hara Bhara Korma,"egg, rose water, lemon, fish, prawn, cauliflower",572.95,50,Non-Veg
Hara Bhara Lassi,"potato, lemon, okra",699.54,7,Dessert
Butter Tikka,"rice, butter, spinach, cauliflower, saffron",121.62,17,Non-Veg
Jeera Samosa,"fish, prawn, sugar",646.89,30,Beverage
Papdi Tikka,"tomato, fish, paneer",693.88,41,Dessert
Classic Tikka,"potato, prawn, rose water, paneer, fish, saffron",670.94,48,Bread
Dal Lassi,"cauliflower, onion, mutton",557.9,14,Combo
Jeera Kebab,"potato, noodles, sugar, okra, cauliflower, tomato",207.89,21,Main Course
Jeera Samosa,"rice, chicken, fish",542.43,12,Main Course
Fresh Lime Halwa,"potato, cashew, egg, nuts, soy sauce, saffron, prawn",187.0,37,Non-Veg
Spicy Rice,"mushroom, mutton, potato, flour, okra, saffron, chicken",613.42,27,Dessert
Prawn Samosa,"paneer, chicken, cream, fish, milk, garlic, flour",414.7,31,Dessert
Palak Bhaji,"paneer, spinach, nuts, rice",272.83,10,Veg
Tandoori Curry,"flour, lemon, potato, okra, spices, spinach",562.86,6,Starter
Special Lassi,"noodles, okra, capsicum, flour, spinach, butter",225.33,21,Bread
Mango Samosa,"spices, cauliflower, sugar, noodles, ginger, saffron, yogurt",564.06,45,Starter
Tandoori Rice,"spices, capsicum, cream, noodles, butter, spinach, milk",121.39,25,Non-Veg
Chicken Kebab,"tomato, rice, egg, mushroom, garlic, lentils",364.39,34,Non-Veg
Veg Rice,"rose water, potato, butter, lentils",319.1,49,Veg
Mutton Halwa,"cashew, spinach, saffron, lentils, garlic, rose water, prawn",415.63,23,Main Course
Cold Coffee Rice,"rice, garlic, saffron, spinach",122.72,47,Bread
Lemon Rice,"yogurt, ginger, onion, milk, chicken",474.72,37,Beverage
Garlic Biryani,"egg, potato, cashew, spinach, fish, paneer",355.27,42,Combo
Chicken Korma,"paneer, tomato, cauliflower, mushroom, fish, capsicum, soy sauce",607.31,45,Main Course
Gobi Bhaji,"cream, mushroom, saffron, milk, fish, nuts, rice",165.92,12,Starter
Cold Coffee Thali,"potato, garlic, rice, cream",279.84,14,Combo
Butter Biryani,"mushroom, spinach, tomato, sugar, chicken, butter",607.13,26,Bread
Mango Thali,"paneer, milk, butter, spinach",161.77,48,Beverage
Jeera Korma,"soy sauce, cashew, mutton, nuts, cream, rose water, egg",251.16,38,Veg
Tandoori Naan,"soy sauce, cauliflower, nuts, egg, potato, ginger, okra",350.76,11,Main Course
Tandoori Masala,"rose water, onion, nuts",503.31,5,Veg
Creamy Tikka,"noodles, mushroom, spices, soy sauce, milk, potato, tomato",512.19,39,Bread
Tandoori Balls,"paneer, saffron, lemon, rose water, sugar",401.78,10,Starter
Cheese Corn Thali,"mushroom, nuts, garlic, capsicum, paneer, onion",456.25,48,Starter
Shahi Kebab,"cauliflower, rice, lentils, butter",163.89,21,Beverage
Tandoori Bhaji,"mutton, egg, cream, spinach, noodles",526.8,7,Starter
Lemon Korma,"saffron, egg, prawn, spinach, lentils, rice, cauliflower",248.46,32,Main Course
Mutton Curry,"spinach, nuts, potato",422.47,11,Starter
Cheese Corn Masala,"lentils, cauliflower, sugar, rose water, mutton, paneer, noodles",666.66,20,Bread
Chole Curry,"mutton, cream, prawn, butter",514.3,37,Beverage
Butter Curry,"onion, okra, cashew, prawn, chicken",292.97,24,Veg
Fish Balls,"noodles, cauliflower, saffron, okra",314.65,5,Veg
Special Curry,"cauliflower, okra, noodles, mushroom, potato, tomato, milk",534.07,9,Main Course
Palak Jamun,"garlic, fish, cashew, ginger, okra",71.42,9,Combo
Methi Jamun,"garlic, lemon, ginger, lentils, cauliflower, spices, yogurt",109.75,6,Dessert
Mutton Samosa,"sugar, garlic, cauliflower, saffron, cashew",358.09,42,Main Course
Aloo Naan,"capsicum, saffron, soy sauce, egg, mushroom",193.03,5,Combo
Fresh Lime Curry,"chicken, lemon, potato, cashew, cream",101.53,20,Dessert
Mutton Balls,"milk, ginger, okra, mushroom, yogurt, butter, lemon",609.23,28,Combo
Special Halwa,"flour, chicken, lentils, spices, butter",291.18,36,Combo
Malai Samosa,"mutton, fish, rice, tomato, nuts, mushroom, soy sauce",168.28,36,Non-Veg
Ras Chaat,"milk, lemon, flour",680.45,46,Beverage
Palak Naan,"butter, rose water, saffron, egg",318.53,12,Bread
Dal Naan,"milk, mushroom, yogurt",384.4,10,Main Course
Masala Lassi,"saffron, potato, chicken, lentils, cream",175.79,50,Bread
Methi Balls,"soy sauce, cream, okra, lemon, rose water",640.95,28,Veg
Ras Masala,"milk, chicken, rose water, capsicum, spices, mushroom, cream",188.46,7,Dessert
Butter Jamun,"mutton, cashew, butter",348.95,19,Dessert
Chicken Chaat,"onion, soy sauce, milk",171.92,35,Beverage
Mango Curry,"cashew, garlic, prawn, chicken, flour, yogurt",622.81,9,Beverage
Papdi Tikka,"capsicum, rice, lemon, cream, lentils",416.07,39,Main Course
Garlic Masala,"spinach, ginger, spices, saffron",77.14,31,Starter
Methi Samosa,"egg, flour, soy sauce, cream, sugar, tomato, milk",667.12,28,Starter
Mango Thali,"okra, rice, saffron, capsicum, nuts",656.13,39,Veg
Fish Kebab,"cashew, spices, lemon, garlic, butter",270.55,47,Non-Veg
Aloo Chaat,"butter, soy sauce, mushroom, nuts, spinach, milk, fish",588.8,24,Beverage
Aloo Rice,"potato, sugar, garlic, spices, ginger, yogurt, cream",577.34,16,Veg
Paneer Naan,"noodles, spices, nuts",599.54,19,Main Course
Spicy Masala,"capsicum, ginger, lentils, cashew, butter, mushroom, garlic",353.27,36,Combo
Mutton Thali,"rose water, mushroom, soy sauce, saffron",413.89,5,Bread
Ras Samosa,"sugar, lemon, yogurt, noodles, tomato, soy sauce, butter",620.01,46,Combo
Spicy Naan,"spinach, garlic, tomato, mushroom, flour, onion, prawn",545.41,33,Non-Veg
Palak Halwa,"noodles, cashew, rice",241.65,49,Veg
Malai Halwa,"mushroom, lemon, yogurt",286.23,44,Beverage
Lemon Halwa,"noodles, tomato, cream, potato, mushroom, rose water, egg",446.44,42,Combo
Dal Jamun,"cashew, butter, sugar, yogurt, rose water, ginger, chicken",492.86,24,Non-Veg
Butter Pulao,"spices, lemon, noodles, nuts, potato, mutton",171.19,42,Combo
Veg Curry,"milk, noodles, cashew, cream, capsicum",554.57,41,Non-Veg
Mango Curry,"noodles, milk, cashew, prawn, cauliflower, capsicum",517.42,10,Dessert
Papdi Korma,"tomato, mushroom, cashew",545.39,14,Combo
Aloo Biryani,"paneer, mushroom, potato, nuts, capsicum, rice",622.03,13,Non-Veg
Lemon Kebab,"prawn, lentils, tomato, mutton, lemon, sugar",384.23,22,Starter
Methi Rice,"lemon, potato, prawn",699.34,23,Bread
Kadai Lassi,"okra, flour, cauliflower, garlic, lentils, paneer, spinach",68.78,26,Non-Veg
Creamy Pulao,"potato, yogurt, rose water, capsicum",520.5,8,Bread
Paneer Balls,"okra, noodles, mushroom, cream",544.83,43,Bread
Mango Curry,"prawn, fish, noodles, tomato, rose water",594.14,7,Non-Veg
Cold Coffee Chaat,"rice, rose water, cashew, nuts, butter, onion, egg",96.5,34,Non-Veg
Butter Masala,"yogurt, cream, cauliflower, sugar, saffron",222.34,50,Bread
Mango Naan,"onion, potato, yogurt",244.47,38,Bread
Special Biryani,"noodles, egg, garlic, sugar, mushroom, tomato, spices",358.92,34,Main Course
Gulab Bhaji,"spices, tomato, cashew, milk, ginger",650.35,41,Dessert
Paneer Lassi,"rice, mushroom, lemon",319.49,38,Dessert
Cheese Corn Samosa,"butter, rice, flour, saffron, prawn",137.67,15,Dessert
Tandoori Curry,"cauliflower, mushroom, spices, cream, garlic, lentils, paneer",594.25,28,Starter
Fish Lassi,"paneer, tomato, fish",126.8,31,Dessert
Methi Chaat,"butter, lemon, yogurt, cream, flour",89.66,6,Non-Veg
Creamy Thali,"flour, butter, fish, mutton, spinach, potato, tomato",511.81,14,Combo
Classic Jamun,"tomato, sugar, cashew",598.78,38,Combo
Creamy Balls,"yogurt, rice, flour, rose water, lemon, mutton, cashew",57.26,12,Combo
Cold Coffee Pulao,"cashew, rice, nuts, tomato, capsicum",391.0,16,Combo
Prawn Tikka,"ginger, prawn, saffron, rice",77.36,50,Bread
Methi Lassi,"egg, soy sauce, paneer, sugar, spinach, mushroom",135.7,49,Veg
Prawn Balls,"saffron, sugar, noodles, mushroom, lemon, capsicum",692.21,6,Combo
Ras Kebab,"mushroom, spinach, tomato",214.33,19,Non-Veg
Aloo Masala,"fish, garlic, flour",506.46,36,Dessert
Mutton Chaat,"chicken, milk, rose water, cauliflower, onion, rice",304.93,32,Non-Veg
Classic Chaat,"potato, cream, paneer, garlic, onion",240.19,47,Combo
Gulab Samosa,"okra, ginger, yogurt, tomato, spices, flour, rice",123.19,30,Main Course
Cheese Corn Rice,"cashew, yogurt, potato, onion, spinach, egg",488.86,19,Dessert
Lemon Curry,"cauliflower, milk, noodles, flour, lemon, okra, mushroom",296.43,32,Veg
Tandoori Halwa,"cashew, garlic, spinach, noodles, saffron",513.57,6,Bread
Cheese Corn Rice,"cashew, fish, garlic, cream",634.66,47,Main Course
Dal Biryani,"chicken, milk, garlic, lentils",606.27,29,Starter
Hara Bhara Samosa,"potato, tomato, paneer, lemon, nuts",335.54,26,Combo
Veg Tikka,"spinach, onion, soy sauce, paneer, okra, cashew, cream",218.45,30,Dessert
Cheese Corn Balls,"chicken, rose water, mutton",105.61,32,Beverage
Butter Balls,"ginger, okra, sugar, mushroom",392.93,13,Combo
Chole Halwa,"paneer, tomato, yogurt, cream, noodles, mutton",477.53,26,Bread
Garlic Halwa,"chicken, tomato, flour, rose water, garlic, fish",96.06,31,Beverage
Lemon Naan,"chicken, lentils, egg",121.14,19,Starter
Mutton Masala,"potato, spices, rose water, noodles, milk, cauliflower",179.22,33,Starter
Fresh Lime Biryani,"onion, cauliflower, paneer",693.63,22,Bread
Spicy Rice,"capsicum, rose water, spices, soy sauce",348.37,48,Veg
Butter Rice,"fish, lemon, spices, ginger, mushroom, rice",84.79,13,Combo
Spicy Biryani,"capsicum, nuts, prawn",202.75,21,Veg
Chicken Pulao,"cream, rice, cashew",679.11,13,Beverage
Chole Biryani,"spices, soy sauce, cream",677.66,46,Starter
Fish Masala,"capsicum, cauliflower, yogurt",222.18,39,Beverage
Gobi Samosa,"mushroom, saffron, cauliflower, tomato, rice, chicken",148.54,27,Combo
Garlic Jamun,"spices, cauliflower, mushroom, ginger, chicken",104.84,38,Starter
Dal Kebab,"paneer, spinach, lentils, noodles, cashew",79.02,22,Beverage
Dal Masala,"flour, spinach, rice, yogurt",387.88,45,Combo
Chicken Thali,"fish, prawn, rice, garlic, ginger, lemon",386.7,11,Starter
Gobi Bhaji,"potato, cauliflower, butter, sugar",231.79,9,Bread
Onion Masala,"capsicum, yogurt, cream, cauliflower, chicken, mutton",457.04,26,Dessert
Mango Lassi,"butter, mutton, noodles, onion, rose water",367.43,26,Starter
Masala Kebab,"okra, prawn, mushroom, egg, mutton",641.77,9,Veg
Palak Halwa,"noodles, cashew, rice",241.65,49,Veg
Prawn Halwa,"lentils, rose water, egg, saffron, sugar, cream",220.55,33,Veg
Onion Biryani,"lentils, cauliflower, flour, paneer, sugar",355.31,25,Main Course
Aloo Chaat,"cream, lemon, okra, garlic, chicken",509.18,47,Combo
Lemon Bhaji,"tomato, okra, egg, rice, mushroom, cauliflower",506.35,41,Main Course
Papdi Curry,"garlic, prawn, cashew, yogurt",349.96,30,Non-Veg
Dal Korma,"lentils, flour, onion, butter, mushroom, spices, spinach",621.01,49,Non-Veg
Jeera Bhaji,"saffron, paneer, garlic",120.29,19,Veg
Garlic Chaat,"okra, flour, tomato, cauliflower, cashew, chicken",126.21,18,Non-Veg
Methi Halwa,"mushroom, garlic, onion, spices, ginger, fish",551.42,6,Dessert
Gulab Pulao,"potato, cauliflower, rice, lemon",71.01,23,Bread
Malai Curry,"egg, potato, sugar",421.19,12,Beverage
Fresh Lime Pulao,"nuts, rice, garlic, yogurt, sugar",115.71,12,Main Course
Palak Chaat,"tomato, ginger, sugar, mushroom, cream",598.18,35,Veg
Onion Kebab,"mushroom, chicken, noodles",53.83,20,Main Course
Mutton Tikka,"mutton, soy sauce, egg, tomato, garlic",651.43,18,Starter
Onion Kebab,"potato, tomato, mutton, capsicum, onion, prawn",695.66,18,Main Course
Palak Balls,"okra, rice, mutton",365.28,23,Bread
Chicken Thali,"cauliflower, spices, prawn, spinach",603.97,43,Dessert
Prawn Lassi,"mutton, rice, paneer, tomato",107.31,12,Beverage
Cheese Corn Tikka,"spices, cauliflower, egg",159.98,7,Starter
Methi Curry,"prawn, mutton, capsicum",249.36,30,Main Course
Mango Halwa,"nuts, cream, saffron, flour, prawn, rice",482.6,49,Dessert
Tandoori Tikka,"okra, soy sauce, fish, lemon, noodles, rose water, milk",542.49,11,Starter
Shahi Bhaji,"yogurt, spices, capsicum",204.62,50,Combo
Chicken Naan,"mutton, fish, soy sauce",683.75,27,Non-Veg
Shahi Halwa,"sugar, butter, chicken, yogurt, fish, milk, soy sauce",667.14,6,Non-Veg
Malai Biryani,"mutton, potato, spices, nuts, fish, mushroom, butter",662.71,25,Starter
Tandoori Halwa,"nuts, potato, yogurt, mutton, mushroom",268.94,19,Starter
Gulab Balls,"mutton, flour, chicken, tomato, noodles, cashew",241.43,14,Non-Veg
Jeera Jamun,"rose water, fish, garlic, mutton",662.02,40,Combo
Classic Biryani,"ginger, mutton, garlic, spices",116.14,32,Beverage
Classic Naan,"noodles, rose water, egg, lentils",427.7,8,Starter
Chole Pulao,"okra, lentils, cream, capsicum, cauliflower, yogurt, saffron",375.85,25,Main Course
Prawn Chaat,"nuts, rose water, lemon, ginger, cauliflower, spinach, garlic",549.13,18,Veg
Mango Biryani,"lentils, rose water, cream, yogurt, milk, egg",100.59,6,Veg
Cold Coffee Kebab,"ginger, paneer, lentils",116.48,40,Non-Veg
Cold Coffee Masala,"fish, lentils, noodles, tomato, cauliflower, sugar",381.71,36,Beverage
Chole Samosa,"egg, cream, sugar, yogurt, cashew, nuts",453.51,29,Veg
Fish Halwa,"lemon, fish, potato",276.53,27,Dessert
Special Korma,"lemon, butter, tomato, paneer, cream, sugar, saffron",528.1,24,Beverage
Onion Biryani,"potato, nuts, rose water",417.32,39,Main Course
Hara Bhara Curry,"chicken, noodles, lentils, potato",600.02,26,Beverage
Chole Lassi,"spices, spinach, mushroom, saffron, sugar, noodles",577.15,25,Combo
Paneer Rice,"rice, cashew, egg, garlic, capsicum",115.8,9,Non-Veg
Ras Jamun,"butter, rose water, capsicum, onion, mutton, rice",216.33,16,Non-Veg
Onion Chaat,"paneer, saffron, potato, noodles, cauliflower, spices",655.32,32,Non-Veg
Paneer Balls,"rice, potato, cashew, cream, spices, sugar",221.79,10,Bread
Cold Coffee Biryani,"garlic, cauliflower, rice, mushroom",501.71,31,Main Course
Chicken Pulao,"sugar, milk, saffron, flour",306.05,7,Beverage
Tandoori Naan,"paneer, lemon, okra",436.92,37,Bread
Papdi Bhaji,"mushroom, spinach, noodles, ginger, tomato, flour",626.64,39,Starter
Chicken Bhaji,"noodles, okra, prawn, nuts",313.2,12,Non-Veg
Fish Pulao,"rose water, garlic, fish, potato, paneer, cashew, cauliflower",393.91,9,Non-Veg
Chicken Jamun,"nuts, spices, soy sauce, yogurt, mushroom, saffron",208.03,12,Veg
Cold Coffee Chaat,"cream, okra, cashew, cauliflower, garlic, noodles",526.78,25,Veg
Dal Thali,"lentils, yogurt, rice, egg, paneer, prawn, onion",397.27,33,Bread
Malai Balls,"potato, butter, rose water, cauliflower",549.27,47,Bread
Cheese Corn Thali,"cauliflower, sugar, fish, rice",225.87,27,Bread
Onion Samosa,"mushroom, cream, capsicum, spices, lentils",458.08,11,Non-Veg
Aloo Balls,"soy sauce, tomato, flour, rose water",453.98,41,Beverage
Mango Jamun,"okra, saffron, flour, onion, tomato, rice",395.66,14,Main Course
Spicy Masala,"rice, egg, butter, tomato",301.02,23,Beverage
Prawn Pulao,"mushroom, paneer, sugar, garlic, egg, tomato, chicken",450.5,44,Non-Veg
Palak Lassi,"butter, flour, ginger, capsicum",293.94,40,Non-Veg
Special Thali,"mushroom, ginger, chicken, paneer, tomato, rice",426.57,35,Combo
Jeera Samosa,"mushroom, ginger, butter, flour, chicken, cashew",106.37,35,Main Course
Shahi Thali,"cashew, rice, nuts",195.0,24,Bread
Garlic Kebab,"rice, garlic, nuts",461.19,5,Starter
Cheese Corn Lassi,"tomato, garlic, soy sauce, sugar, spices",297.43,23,Dessert
Paneer Biryani,"milk, mushroom, chicken",231.35,6,Starter
Kadai Pulao,"capsicum, yogurt, ginger",542.27,28,Main Course
Tandoori Korma,"fish, mushroom, lemon, mutton, spinach",476.55,11,Combo
Papdi Naan,"fish, cream, egg, rice",333.64,33,Veg
Mutton Pulao,"potato, onion, rose water, nuts, okra, mutton",436.4,48,Bread
Masala Kebab,"mushroom, chicken, ginger, butter, prawn",206.09,44,Combo
Methi Samosa,"prawn, garlic, flour, yogurt, cream",529.49,22,Bread
Gobi Tikka,"potato, saffron, spices, lemon, nuts",209.08,32,Bread
Veg Korma,"yogurt, nuts, capsicum, onion, egg",665.8,16,Starter
Fresh Lime Balls,"saffron, egg, mutton, butter",503.71,28,Bread
Fish Thali,"capsicum, ginger, lentils, spinach, cream, okra",430.55,5,Combo
Prawn Naan,"sugar, egg, onion, noodles, potato",652.58,36,Veg
Veg Halwa,"rose water, prawn, paneer, lentils, butter, okra",472.9,47,Main Course
